id,name,age,gender,salary,consumption_amount,renewal
1,Alice,25,0,25000,3480,Y
2,Brian,23,1,22000,3830,N
3,Christy,19,0,19000,3180,N
4,Daniel,26,1,20000,3800,Y
5,Elsa,32,0,40000,6280,Y
6,Fanny,29,0,30000,4930,Y
7,Grace,21,0,16000,2800,N
8,Horace,24,1,20000,3700,N
9,Iris,22,0,23000,4130,N
10,Jennifer,19,0,18000,3220,N
11,Karen,37,0,32000,4730,Y
12,Lily,25,0,22000,4200,N
13,Marco,22,1,20000,3205,Y
14,Nicola,35,0,29000,4380,Y
15,Oliver,33,1,28000,4200,Y
16,Peggy,18,0,23000,4370,N
17,Queenie,29,0,21000,3780,N
18,Rex,39,1,39000,6830,Y
19,Sindy,27,0,23000,4280,Y
20,Tom,30,1,38000,6410,Y
